ualberta_user_id,course_grade_ts,course_grade_verified
00107734d038767fcd1e88b6e173f475545b5017,15-Nov-2015,0.816667
001441a889d1bab409af63a2889bfc4c55871b14,21-Jan-2016,0
002d39cfafce9ae5baf4ac7385ac0fa05c39c9df,10-Jan-2016,0.1125
0030163acac3f7b371ed89c73bd876c512d5da7f,16-Mar-2016,0.929167
0035f810529cc356d016ac5697bed2b776a53b0e,14-Mar-2016,0.902778
003ac03d93c61a76a0a59c5aad904f525c096dc5,15-Nov-2015,0.858333
003fcf37384baf07b411ff50d247305bca4af40a,23-Nov-2015,1
00432cd5b0934f44d41261b2c33fa763bbcfed44,16-Nov-2015,0.09375
0082b03b07d3692d0a78f1b784fbb9b86b1abafd,22-Nov-2015,0.805556
009ec1d4f7e5cb985504393b1501dfa4b24e10dd,08-May-2016,0.966667
00b2bf1a305bc6b616c5a8442a21ec16826f7151,15-Nov-2015,0.756944
00c33da63a7cf14beb0c8957b39fe482123be41c,16-Nov-2015,0.820833
00c83fb450c957334d91267a735130c5638ea25c,03-Dec-2015,0.813194
00cdffef8b38ca63ca8bd59f955598993a42b89c,30-Oct-2015,0
00eb57cc957442c0e414eb0535f94224066a56a0,01-Mar-2016,0.4125
00f95749baa90e737882c070ba50fc4860e58444,08-Nov-2015,0.1125
0102172783bcee64a77ce5a49517ff2af8ce2708,08-Jan-2016,0.225
010ebfaa260b63067b20177d0f9bec95e29d6371,01-Nov-2015,0.76875
0115b50bb4da17f69efcf2b9994fc95e00e627ff,15-Mar-2016,0.2625
011d369cabc816dcddc6e33bc831286b4b51619e,20-Dec-2015,0.865972
012a6a41acdeb955af26d659e97b77d525c0f346,25-Apr-2016,0.15
012f46d49964bfb211c49d8581d991bfd9748d1d,05-Dec-2015,0.09375
014765c0eaf1123eba4b2a202978923bcec2225a,16-Jan-2016,0
01498c4ccaab45485ef4a2c75f70d66fa1b4d8f3,01-Dec-2015,0
014ebe608956a41d1e4422d930774a4f348f2466,27-Oct-2015,0.1125
0152333ac489ef553e4ab524a698dcdc136568e3,11-Apr-2016,0.8625
0159d1bc7495bbdd6237863ae2c7f0d3753866bb,17-Nov-2015,0.75
016df57fe1e2c84a8514307c19b5e6dbd6ad20e2,21-Nov-2015,0.73125
01737c8b29e445fe0386f27033671feb921bf1ed,21-Nov-2015,0
01737f6ef214a785f27e463ee4597d3272a9a63b,03-Nov-2015,0.24375
017e9adf0be985dbc8cb3a01b6a56438e8b60de1,21-Nov-2015,0
018397bb0714c41d0741c051b2015ec930ffd0a1,09-Nov-2015,0
018639e6c9b5d8d4c48d480e101d43733bb8a99f,28-Nov-2015,0
018942c06b713255e1fd05938a01b91e0baf3acc,23-Nov-2015,0.98125
01a4cefa07c1ddf1f81dbeacc498b6635b8d96a7,11-Nov-2015,1
01afac9308484b52bcb66bb8c9d417bd260d415d,10-Dec-2015,0
01bc70d5026d3bfb9eb2c1b4556b2943cac6cba4,27-Nov-2015,0.895833
01c033fce8e26c0b3bbdb79db7b457c6fed981d1,30-Oct-2015,0.933333
01c322244101c728376f191429223a92ccd064c1,29-Jan-2016,0.753472
01c86baf0807d3a91bf7ee3e29e2a65c877ca669,04-May-2016,0.1125
01cc075cdacd53efac84aa58dcb0b088112b15ce,21-Mar-2016,0.839583
01dc092d6878f949c6da7b853b37b990f1df995e,08-May-2016,0.899306
01e05ed110e60e0cac67f267987414f0f7dceca7,21-Nov-2015,0.865278
01eecaad49c29e35cfae11d3016ddb1e1339b561,08-Nov-2015,0.13125
0206220b14b898505a6f6f7a2c92dee0c2a899ed,19-Dec-2015,0.09375
021174d446abca1f81bce230b23e619a30be7c06,31-Oct-2015,0.09375
0224b13ec017e972aab8e3a05685463fe4f4776f,15-Jan-2016,0
023371c91d609ec8912fb24f75f80cd87fbbc3ae,24-Jan-2016,0.1875
023c6773c3fc78022def271824e2bddf54b25370,30-Dec-2015,0.914583
024275e3bd2ae037230a6595d396b826a9b3e265,11-Dec-2015,0
02491aaecc611efee0824309278cd030c56bf20f,01-Nov-2015,0
0249d261c396a82fd5b3fd2b4bfe4c039d8a0f48,06-Nov-2015,0.13125
02562798f994f6aa98c7e568a98d0ead04a9a6d7,19-Nov-2015,0.3
026b88e4ef15b47e44bba618b9c7f237c0a2fa4d,09-Feb-2016,0.3375
02719389f95a1a4b26f0f5d102c0c0b6cf2338bb,01-Feb-2016,0.13125
02762ae48b9c23a3a17995ae424e6f21dd52e437,10-Jan-2016,0.50625
0277e820c1c903be6c61c41d8938a1ee9affb359,31-Mar-2016,0.877083
027d49dab3de09ac8926b15f8d1c15206bbbbb31,09-Feb-2016,0.3
027d68dc2138533e2241bf39ee6ca76bbca0a39c,16-Nov-2015,1
028c5d36d4a3eb204bf2afe587e1b74822cacd23,12-Jan-2016,0.933333
028f18bbf8cad0a286031c8cae4b53b24ba4967b,23-Jan-2016,1
02a9de9ce413358624b56924d62aa77f871d8944,14-Mar-2016,0.843056
02aa5aa267d941a020d951bc26ee386959f17f03,02-Nov-2015,0.891667
02b1d15e1376bb0ef25e693d87780c107bf4c9c2,21-Nov-2015,0.902778
02b5612c9d4e7ecab4b977572504183b91053af1,10-Feb-2016,0
02be76e360e4375bd9510649e1c517f6f88d3294,14-Nov-2015,0.80625
02cddfc06c78b31a936ef7311055161c8cbfb2f4,07-Feb-2016,0.45
02cf57ef775939f538bc9d855babe3a5cd753a0a,30-Jan-2016,0.824306
02e0003c103d4b0a0dee140e7323ce695690cb90,21-Nov-2015,0.24375
02e39352635688504f4dba28b57e12a96546d250,21-Dec-2015,0.09375
02e558050502dd20819d4e0e273fbbaa85b8614b,10-Nov-2015,0.817361
030d19ebb4061d1350cca5e1e4f44dbb564d009f,29-Dec-2015,0.1125
0313e94ec9e1db13d40120da49afeda7f6ae1575,03-Feb-2016,0.925694
031a3cff05fa6f7fb7bdda63d00faa8fb8410bfb,17-Feb-2016,0
031bfcebfa8a4c056ec2cf9a940d0dbab5f7b6ca,07-May-2016,0.225
03278679a55642fb2607b90d0883ab06c670e1ca,24-Jan-2016,0.839583
033019e6baf5753da055acceef9510aea1402740,04-Jan-2016,1
034f36ebd980912aae22b766c52078a0fd754221,20-Nov-2015,0.798611
0357098919095fd78ff373213036b2690aa75f10,10-Mar-2016,0.944444
035712c9d6c1ba574b946ad9a39c48b8e4ae8e8c,25-Apr-2016,1
036b61dbf5046f0d4c6f4e4e6b7b766a966cb6f5,04-May-2016,0.977778
037f009dcd3681151788e210dce152bc300bd5d5,04-Jan-2016,0
03877e780eb5eefe71dc3a3bf6acfd3d72df1256,13-Dec-2015,0
038ea3a5eedcb89d201496bada87f15043cd60f8,12-Mar-2016,0.13125
039e59a33e98a672a6fd7c2d9a4ee0d6ab7de68d,21-Nov-2015,0.843056
03b6c30009b4adb4a75a040b8c8c7a4fde0db23c,21-Dec-2015,0.075
03d8e1cf7b5c773b7e9033efff32774235e273fa,21-Mar-2016,0.09375
03da57d5096b426a5888ed73ed05d75698f769fb,02-Nov-2015,0.13125
03dbee69c8d134fd255ad4b1311d6850e3877c9c,18-Nov-2015,0.899306
03e05e4bb08bad7a24e774f8c8f7c656695db0e5,11-Mar-2016,0.959028
03e4ddb59d5e7590f947989bb1bf8cf7975305e8,02-Nov-2015,0
03ee5d26e58c6956eeb9720c30ceb2d613c1d5c8,09-Jan-2016,0
03ef407d23c1005e1b218cbb2fdcbca4240e6f21,14-Nov-2015,0.13125
03f2d9b925632ea89952fee4487f400b3342f394,30-Jan-2016,0.1125
03f365bb10c0b1728470b2c48a518f7975190486,11-Jan-2016,0
040575dd6313ee9c7b8019de5589142bff5f20fb,03-Dec-2015,0
0406926c4302db4902bb9e55c60483da470af428,07-Nov-2015,0.802083
040b7994a23ab143e9fa70df25b7ddcc25a3dcf2,02-May-2016,0.375
040e83507b1a94b881129afdc2bc01bb9088ec46,07-Apr-2016,0.09375
041714c39cd29199f17de832cad1d8558e0e3f6f,24-Jan-2016,0.902778
0427202139b55ef3baba4c2e794931aa0da2a679,28-Feb-2016,0.910417
042e1a0bd63ad6cc8d4af7d3ed5ac070cd456678,23-Nov-2015,0.716667
0430e605b520c653d811569a70faa6f377032d72,17-Nov-2015,0.779861
0435a445057affbb914d1a50bf1d60780521a157,11-Nov-2015,0.80625
043e2d8ee5966d22f55b378794b37aa345cbf031,13-Nov-2015,0.933333
0451d67297bf2325cf9e028126d276a9559d1d38,16-Nov-2015,0.865972
0467fdfe46c96d2c941e543b3e25e08f497b2dee,24-Nov-2015,0.775694
047add103077c03d4d376818e37b04cdd9f0cd6d,06-Dec-2015,0.13125
048a21c306b88e20a2dca138afd06fd2caf3c128,29-Feb-2016,0.824306
048ac1f672948894b4c00751215c23bfbc150355,04-Jan-2016,0.824306
0492121e9c7e2947d2c74a6b6831db0c5cc30d9b,22-Jan-2016,0.869444
04a07b8e8a6cd528ca751a65286b856664526110,10-Nov-2015,0.947917
04a514e879c5879e454c80d00a724af2062c0ea7,03-Jan-2016,0
04a70dea282c13f29becca2e6e0e086dcdcbb163,20-Nov-2015,0.944444
04b1c07cc599f16f81f3b8a615be3bde2544a756,12-Feb-2016,0.847222
04c0607eca9f32f6a8225628584ae2db0e3e12ec,23-Dec-2015,0
04c510fd3d5fcb91d28ed3d6a414c4e43cfff0eb,13-Jan-2016,0.794444
04c76ce7882c8ad21c2ad6d50f3e94f48636a8d9,25-Jan-2016,0.790972
04c8c8188576eff2e16108bb81e7b252eb0f46b4,17-Mar-2016,0.966667
04e7f42da940fae176f558ded332de5ed9def562,19-Nov-2015,0.690278
04edf67156071ec6b300e70f34522f875060975b,26-Dec-2015,0.80625
04fed641b8483e547b6e94768e10e3e849608929,31-Dec-2015,0.13125
0504ffc9df3eee3c52efdea9dcc5fb0aa1c6061c,23-Nov-2015,0.809028
050bcd391e079e7cbf26bd9d4be292f47224c2db,18-Mar-2016,0.225
051bb15b43111029d5c1b5384822ee322d468a55,16-Jan-2016,0
051e2739a9de7a225de1917e60f2bbfc365bdcb9,01-Dec-2015,0.13125
0528cbde9586b9e7a458cc489ed5b44eccb9366c,20-Nov-2015,0.966667
054ac0f3c26af4a99028b08dfcf1833ee542c646,17-Nov-2015,0
054cee6a4386dc2ff672dc3db740506c2fefde34,23-Nov-2015,0.850694
05649c195dad1e9d0d4efdd2e4a6ec77a3558320,10-Jan-2016,0.858333
057597c1df3010b9d0780fe935136dc217498c3f,22-Nov-2015,0.13125
057631466ff9b6b7b8f6ee75daedb83ca58da2cf,17-Feb-2016,1
05785f2a35978ec89dc1c7cd42eda903683f8856,21-Apr-2016,0.225
05794d89810aa6195d18e322606a2f733ad407a8,20-Jan-2016,0
057fcc8e5f91f7bf452c926326d654eb3082f61e,09-Jan-2016,0
058799eab8361d8a97400b1462096204845a9f1f,07-Dec-2015,0.824306
05c27fb0178a10fd80d90a4e4b9ddd04017fcf85,16-Dec-2015,0.872917
05c519a9bf83bc37f85ee22b409677912755ff4a,27-Nov-2015,0.820833
05ce64100334b0d0a4eee34e823aee857b22dc33,19-Nov-2015,0.959028
05d530c6473b416ee4b6b081056190d7c62e6d0e,11-Dec-2015,0.836111
05dc3449d458232cb15d8102e7c4da5f2402dc07,08-Nov-2015,0
05f272b25a64665597437c1b46d02812f761e663,02-May-2016,0.902778
061103f1a41a42836d11b0e0845d2c550e348088,30-Nov-2015,0
0611758ffa2738a9b9973b61f89dfbae6655bcb9,07-Nov-2015,0.839583
061a804617b5c2070895d5bb6db44c927cf7677a,28-Jan-2016,0.1125
062165ac6c370459fbddb7938058c445ffa99ba9,08-Nov-2015,0.3
0621f94c73270ee7bf2f78813a65553bfec0a6ca,02-Apr-2016,0.74375
062f31954fdac05ab586b1abd261c7fcf01bc143,29-Nov-2015,0
0633fd53b8f8a476d0853593f2d9dd4e4b718662,18-Nov-2015,0.850694
064082a99f864419751e62d061456fccef98c6e2,22-Nov-2015,0.869444
064809ff4238317ffcf1dcd5647f8bfdcf969be9,13-Jan-2016,0
06522fd813da90203f099afc2ce3fdda1c6296f7,11-Jan-2016,0
065c25dac46e28e50c851d336e7363902738a8f8,08-Nov-2015,0.988889
065c7ccce3ec7578dc099dd5db9c376e63018c57,25-Dec-2015,0.854861
065e3faa78f96c3148b78dc09088447a7e9b9b21,03-Feb-2016,0
067122811942ae2b95daf9950498b5271222df30,01-Nov-2015,0.880556
06a79e81c40a48fd8e9d8d532dcd1f97ba59a5b8,01-Nov-2015,0.13125
06c4691331600eb116286fceb28182feab58ce44,03-Feb-2016,0.772222
06dab4f5250321c99a0a60920c273b27e2342f73,23-Feb-2016,0.955556
06ead83b211bfee5b7d1399763a2abf1a9b3a64f,09-Dec-2015,0.877083
06fe8320935115e0b04b2655e674846878bc376c,13-Nov-2015,0.959028
06febf2397d9f4829d03ab560ac5666060d3d7a9,07-Dec-2015,0.13125
070be74484df9ba1ca612618c7b6f68c807ac339,03-Jan-2016,0.906944
070cbdfcfe7502abf2a9a8df7b7ae2f8b95496c6,19-Dec-2015,0.936806
071e9f9b1e7e0a1c3fde3759c41796b0a84f64c5,20-Dec-2015,0.1125
071f6e7c5b2e18bc483653b2eda31afbc12b574c,06-Mar-2016,0.794444
072026f910710c2021485f9717d5292985f467fa,25-Mar-2016,0.753472
072bdb455307368502c629f1afd22930b4359aad,16-Nov-2015,0.858333
07437a1371d485f36c35be03c8f6b76e74175139,03-Mar-2016,0.09375
074ca0efff99a1194e12f4bb68e0849f03206630,12-Apr-2016,0.888194
074e5d136f04a420e7d39f8a7a5c9261614d3e61,20-Nov-2015,0.652083
0788c9451c636b6081768bc9867601f564538808,01-Nov-2015,0
0798349e849c3f3f7c41110c8c4c739475bff617,10-Dec-2015,0.75
07a22016efdd5f28a87b564b1ffff9055a50e45e,16-Nov-2015,0.1125
07aa1165f522e60ec135b79cd67a9e24a6493fad,17-Dec-2015,0.1125
07b72372f495d8db51e63d17f6533d64ebc25f4a,22-Nov-2015,0.884722
07cf267f1da4e9c596ed4e5542d3d1d222377735,13-Nov-2015,0
07e14d0aea5a947a45f36959dba52c155103f0c8,17-Jan-2016,0.39375
07e5faf7dcb34c26aefc254ab77a55ec1f17b7f3,17-Jan-2016,0
07ee150eaee4ea0da543f79718e9db305a1b6154,23-Feb-2016,0
07ef62ef004260e06eabf890d51ea3bc930bf78c,22-Nov-2015,0.723611
07fa8a7c87fdd091d248832ad98579f4cda44993,04-Dec-2015,0
07fb537e0f37262dc84cdbe329db60da50a38e1f,16-Nov-2015,0.1125
080fb982c3135c5e405129bd654257e805f8fe1b,10-Feb-2016,0.35625
08156055866b42593d0cbf290602abdbee1a9b68,02-Dec-2015,0.075
081eb38c985b82a1630b3b985b11729a0350a20c,21-Mar-2016,0.9
0835bd66dcf230a4b82456265daac45b6f864fe0,06-Dec-2015,0.80625
083684f19c94b7f439a9402d81d51db8c98cf62a,21-Nov-2015,0.09375
083daeb1e43db62051ebb4162ecec2d5e2c2a449,20-Nov-2015,0.2625
0841581c589cb82113965ba5cfbe55240ee068a7,14-Nov-2015,0.779861
0844e2e983125a134585aa54aa22e4dc46ccdd83,30-Mar-2016,0.835417
08479d88a46b2d10ed05cecd16f59ae4ab0ff7ea,30-Apr-2016,0.988889
085774dfdf5dfaeaa375dbadac45418e013c63d9,24-Apr-2016,0.15
086e5849dd908c94c39faa71cf1bf7983eea9690,20-Nov-2015,0
087ae3f61f116310176fffc7557fb2db455d85c9,14-Dec-2015,0.322222
08897b38832cf212b10733ed7c446b56f2b8f79e,17-Apr-2016,0.813194
08962d4cab58ee41f6063e086f7f1c7f4c2f19a9,15-Nov-2015,0.35625
089964b91a2d8fbe7842536c676eaffcc2b84713,01-Dec-2015,0.884722
08a88db5aa8aab05cdf01b84962f4c3af93eff3f,16-Nov-2015,0.13125
08c9a4e50a0d46b05d85bedd54f24545613bd91b,02-May-2016,0.3375
08cc6c2c74e2a46e1fc6cb8aac14312201e8d586,27-Dec-2015,0.884028
08e90e07793169a6227e06abf3b3ea72da4475ff,25-Nov-2015,0.802083
08f8202270c46be7123ba05642dfd893cf26b9a6,19-Feb-2016,0
0904353f923e4fd8f0eab1f7e34ea9c5a0ddd7cd,15-Nov-2015,1
0909b1a6f6e77b75179ff8851cf551352b4a048b,08-Jan-2016,0.802083
090bd9a1233d39e2537d665b7ad6cf91821529e4,01-Mar-2016,0.988889
090bfd9de35983a726503cdbb3093ac7dea30f97,23-Mar-2016,0.970139
091814fa3b90e29b71e5758a0d33062db784e39d,14-Dec-2015,0.858333
091acf007b776233dc9fa405dec570e4d89e331f,08-Jan-2016,0.899306
091c1521d2c8c333dae5382b555c0690ff422164,29-Nov-2015,0
0928f6777c1d86fa9164251ccd0e162a6b18d40e,08-Feb-2016,0.80625
093acafe8eac34f1ca331223cd865a11f904d1e2,07-Dec-2015,0
094715b15074bdc096a74141ad4f153dd89d3205,18-Nov-2015,0.940278
094eeac97ebaffadd327d7695b5515266005471b,11-Jan-2016,0
09543e6dc45a77db3cbd09d75bf2f40f005d36b7,03-Jan-2016,0.761111
09641c2dbec6546447f34d917a385ac7d284df32,22-Dec-2015,0.366667
0979c88326c9461ae7fbe53f50491eb1c9609030,17-Dec-2015,0
097fc6b2aa3b8f9439383308844177ce237c4b6a,06-Jan-2016,0.828472
09834dacf2c481ade2105c735f1406db456fa6a6,23-Nov-2015,0.854167
098965e679e5f0ff57cc8cebd8c3af4bb244286f,19-Dec-2015,0.880556
098bcf62d35c28e834cfc38bf55106945affc400,30-Jan-2016,0.880556
09924e7d7a01cd84395c7d0c02dbcfcea7615cf0,01-Apr-2016,0.43125
09998c2632bcef424cf8835910263b53f8eb7826,07-Nov-2015,0.843056
09a050dc34858c91b3845c205d3a9bc530969d37,14-Nov-2015,0
09b3d742150ad21aa0e605715dcf06c3d443c975,14-Feb-2016,0.13125
09b4e391695c74e2439df23f13572fabfedfdb62,04-Apr-2016,0.888194
09c46458740d2198c90c41e587e049468040d3d8,08-Nov-2015,1
09ca3a7ce6c8f3b78891eac58774e5464b460b04,10-Nov-2015,0.988889
09cecf8343eb325cda76e3150d563ac3b9ef2faa,25-Jan-2016,0.24375
09e0114cbbcd9798c140a01aa5a7c3da268d05ff,24-Nov-2015,0
09fb652ffbdfc8f82159303cecffe9420cbb330e,23-Apr-2016,0.775694
0a02e859dfb81b9553610418035536d1980cadd8,11-Nov-2015,0
0a0312d4887b77701c951974bb2d3725bfec3ac7,27-Apr-2016,0
0a107bf86cfbae1733a6828ab854f4116c7ea908,15-Nov-2015,0.913889
0a12bf9b956177da1d100285312abbf70a3bdeea,16-Jan-2016,0.850694
0a23bd3512b9856523d68daa944611aec4ca6a57,27-Oct-2015,0.955556
0a3c5a5f532efe631ee764b2ed9c62798d837892,03-May-2016,0.719444
0a4362bfe65a22709c6a42711e46599e7fabd9a6,31-Oct-2015,0.43125
0a538546f416869783ba708abca15fcd1d210a93,18-Feb-2016,0.925694
0a5b3091335f9191da1aeb1ccf1c9bedbcfc3aaf,16-Nov-2015,0.854861
0a5eabefe0d0cef925387c7dfcee18681d6c6f91,27-Oct-2015,0
0a629de25db0a627a0392f3d5926ea07bfe4aee2,05-Apr-2016,0.75
0a6940a5e7b9b6013f7d01f5c7697effc0fe31bb,22-Nov-2015,1
0a6b6839187f27593b1a2e94a804459bd313938d,21-Nov-2015,0.13125
0a70e9a85241d3c1b7e82232b79bf0ccb5bb0841,13-Nov-2015,0.7875
0a99ca19aa5dd0bef9cc9f0c02d68398b0ccfab5,01-Nov-2015,0
