ualberta_user_id,course_grade_ts,course_grade_verified
0001724f7b9f137d5507ca844e0ebfe13eceec4c,29-Feb-2016,0
00078950087b7a00a81fd6c1b3e21321ac138762,15-Oct-2015,0
00107734d038767fcd1e88b6e173f475545b5017,10-Oct-2015,0.808036
00147369f5f63d5c9c8fcda84a650da688e60b2e,12-Oct-2015,0.90625
0024907e5e68099172a913325a347b2b63d6f16e,18-Jan-2016,0.861607
002d39cfafce9ae5baf4ac7385ac0fa05c39c9df,10-Jan-2016,0.897321
0030163acac3f7b371ed89c73bd876c512d5da7f,09-Feb-2016,0.861607
00355e58daa31bb205ad4eca59077642796da9a3,19-Oct-2015,0.25
0035f810529cc356d016ac5697bed2b776a53b0e,12-Feb-2016,0.9375
003ac03d93c61a76a0a59c5aad904f525c096dc5,29-Oct-2015,0.830357
003fcf37384baf07b411ff50d247305bca4af40a,03-Nov-2015,1
0050af5e068885bc3ec6469f2d1cb677c4bbf554,21-Dec-2015,0
005bfc09a106820ca8ab95e457405f9dfbcdd2ff,10-Nov-2015,1
005dc0c7c58c27db39cf32afb930de5bdb3e0a21,14-Jan-2016,0.25
007dbde6a94e180bebc7ed00b0d406a3d2e0c2d1,02-Dec-2015,0.375
0082b03b07d3692d0a78f1b784fbb9b86b1abafd,15-Oct-2015,0.830357
009ec1d4f7e5cb985504393b1501dfa4b24e10dd,25-Apr-2016,0.928571
00a58010d1127490f4eaee999df2bf466f64d311,03-Nov-2015,0.125
00b2bf1a305bc6b616c5a8442a21ec16826f7151,23-Oct-2015,0.892857
00bcd0476b27a5304498951c567077ab6e85efac,07-Nov-2015,0.866071
00be7dc142ce5906471ad8b73e188494429c829b,05-May-2016,0.808036
00c09459e3b72a07fea93ec6eb011124b544e87e,16-Oct-2015,0.25
00c33da63a7cf14beb0c8957b39fe482123be41c,19-Oct-2015,0.767857
00c83fb450c957334d91267a735130c5638ea25c,25-Nov-2015,1
00cdffef8b38ca63ca8bd59f955598993a42b89c,21-Oct-2015,0
00ddcaf7dea20d52c6ef714c25b2687ef2541273,11-Oct-2015,0.1875
00dec1256967a24a046aea00795b0003fec8a34c,07-Jan-2016,1
00e35c327f7a30eda8b7fda28db05fba8bb22505,02-Dec-2015,0
00eb57cc957442c0e414eb0535f94224066a56a0,10-Feb-2016,0.928571
00f3ed32a890c38ca4ebd29a6016a74ee660c3da,19-Dec-2015,0.90625
00fe80651524bd09ee0e2dec2d718be7fcfc1687,22-Apr-2016,0.767857
0102172783bcee64a77ce5a49517ff2af8ce2708,05-Jan-2016,0.90625
010ebfaa260b63067b20177d0f9bec95e29d6371,01-Nov-2015,0.901786
0115b50bb4da17f69efcf2b9994fc95e00e627ff,12-Feb-2016,0.933036
0115b99486b29e5f0586f1b699b5c57d117ac4d2,09-Nov-2015,0.125
011d369cabc816dcddc6e33bc831286b4b51619e,16-Nov-2015,0.964286
012d4cf37fe63f8b855fe50ba1b2e4ed9e3b36b8,28-Dec-2015,0
0134435f616d4739eeaa432c66b98f034b2df677,27-Oct-2015,0
014765c0eaf1123eba4b2a202978923bcec2225a,03-Jan-2016,0
01498c4ccaab45485ef4a2c75f70d66fa1b4d8f3,01-Dec-2015,0
0152333ac489ef553e4ab524a698dcdc136568e3,15-Nov-2015,0.861607
01737c8b29e445fe0386f27033671feb921bf1ed,20-Oct-2015,0
018397bb0714c41d0741c051b2015ec930ffd0a1,09-Oct-2015,0
018639e6c9b5d8d4c48d480e101d43733bb8a99f,24-Oct-2015,0.1875
018942c06b713255e1fd05938a01b91e0baf3acc,18-Oct-2015,1
0189db24741f548356605830a8436291f7d83303,20-Jan-2016,0.736607
018f169f4b84d38d745748c18c1e8a6d7b56e07c,30-Nov-2015,0
0199352466e24bb79640d8e85c73de0c62c903e5,18-Nov-2015,0.1875
01a4cefa07c1ddf1f81dbeacc498b6635b8d96a7,13-Oct-2015,0.964286
01b68eab6182ed0eabf130b737538a7b59b56161,02-Apr-2016,0.928571
01bc70d5026d3bfb9eb2c1b4556b2943cac6cba4,06-Oct-2015,1
01c033fce8e26c0b3bbdb79db7b457c6fed981d1,21-Oct-2015,0.9375
01c13b314a34618f0adb4bbfd5829b6dbf79380d,25-Nov-2015,0.96875
01c86baf0807d3a91bf7ee3e29e2a65c877ca669,02-Mar-2016,0.736607
01cc075cdacd53efac84aa58dcb0b088112b15ce,23-Feb-2016,0.839286
01d39ba823bd66d43319e4f479fdd38273ccead0,14-Mar-2016,0.808036
01e05ed110e60e0cac67f267987414f0f7dceca7,21-Oct-2015,0.830357
01f0cdda05b36c16d9ce5e2564bd72552e5bfdbf,15-Jan-2016,0
0205883f4bc96d8282147b90d0695a948c98e3f5,12-Nov-2015,0
0206220b14b898505a6f6f7a2c92dee0c2a899ed,16-Dec-2015,0.767857
020dc150e79ab5380ee27ca69b7bcf84ffa36697,03-Dec-2015,0.705357
02105b2199f35bd3586347d967537632bddc3c70,10-Oct-2015,0.25
023371c91d609ec8912fb24f75f80cd87fbbc3ae,11-Jan-2016,0.803571
023d55944a10f7400694d98aee8108e8a0de22c9,10-Oct-2015,0
0241ad99729cc3a15b2ee54198415bd56e315f7e,10-Oct-2015,0.25
024396f5c1bf28888136ac05828f8e4e2e191bb0,09-Jan-2016,0.866071
0249d261c396a82fd5b3fd2b4bfe4c039d8a0f48,14-Oct-2015,1
026b88e4ef15b47e44bba618b9c7f237c0a2fa4d,29-Nov-2015,0.25
0277e820c1c903be6c61c41d8938a1ee9affb359,22-Mar-2016,0.928571
027d68dc2138533e2241bf39ee6ca76bbca0a39c,09-Nov-2015,1
028c5d36d4a3eb204bf2afe587e1b74822cacd23,06-Jan-2016,0.964286
028f18bbf8cad0a286031c8cae4b53b24ba4967b,20-Jan-2016,0.964286
0296acf55e01ce581954c20cbfb841c9cf66c330,24-Jan-2016,0.866071
02a9de9ce413358624b56924d62aa77f871d8944,12-Dec-2015,0.741071
02aa5aa267d941a020d951bc26ee386959f17f03,24-Oct-2015,1
02abb6de6a473e89e39793d6585c2d2508dcdf16,11-Nov-2015,0
02b1d15e1376bb0ef25e693d87780c107bf4c9c2,11-Oct-2015,0.897321
02b5612c9d4e7ecab4b977572504183b91053af1,18-Oct-2015,0
02be76e360e4375bd9510649e1c517f6f88d3294,12-Nov-2015,1
02cddfc06c78b31a936ef7311055161c8cbfb2f4,17-Jan-2016,1
02d34016be4f6d38c283752f87916c4ec7754218,06-Oct-2015,0.125
02da1d001bc4aa513f69d374b3a05a4aa600c135,05-Feb-2016,0.1875
02da4cd7050246534094a07292c15ea063715ca0,06-Oct-2015,0.25
02e0003c103d4b0a0dee140e7323ce695690cb90,16-Oct-2015,0.799107
02e558050502dd20819d4e0e273fbbaa85b8614b,28-Oct-2015,0.799107
02ec0cdf328f02556fc28ab1d424271c2664c601,01-Feb-2016,0.767857
02ed0ded4023469ffb00592666cbcdb6a699cc86,09-Jan-2016,0.125
