ualberta_user_id,course_grade_ts,course_grade_verified
00107734d038767fcd1e88b6e173f475545b5017,06-Feb-2016,0.874976
0035f810529cc356d016ac5697bed2b776a53b0e,30-Mar-2016,0.923371
003ac03d93c61a76a0a59c5aad904f525c096dc5,04-Feb-2016,0.0875
0082b03b07d3692d0a78f1b784fbb9b86b1abafd,26-Jan-2016,0.870455
00c33da63a7cf14beb0c8957b39fe482123be41c,24-Feb-2016,0.872159
00c83fb450c957334d91267a735130c5638ea25c,16-Mar-2016,0.875
0159d1bc7495bbdd6237863ae2c7f0d3753866bb,08-Feb-2016,0.899583
018639e6c9b5d8d4c48d480e101d43733bb8a99f,17-Feb-2016,0.902917
018942c06b713255e1fd05938a01b91e0baf3acc,01-Feb-2016,0.290909
01a4cefa07c1ddf1f81dbeacc498b6635b8d96a7,05-Feb-2016,0.9875
01bc70d5026d3bfb9eb2c1b4556b2943cac6cba4,05-May-2016,0.3
01c033fce8e26c0b3bbdb79db7b457c6fed981d1,24-Jan-2016,0.975
01c523e99f1182003280cdcce5bc4daf3f3cc694,06-Jan-2016,0
01e05ed110e60e0cac67f267987414f0f7dceca7,30-Jan-2016,0.901838
01ff8797841225ea4c1312bc0d051cd9cca2b0ef,14-Mar-2016,0.1
027d68dc2138533e2241bf39ee6ca76bbca0a39c,25-Jan-2016,0.988788
028c5d36d4a3eb204bf2afe587e1b74822cacd23,06-Feb-2016,0.878409
028f18bbf8cad0a286031c8cae4b53b24ba4967b,12-Mar-2016,1
02b1d15e1376bb0ef25e693d87780c107bf4c9c2,11-Feb-2016,0.891705
0313e94ec9e1db13d40120da49afeda7f6ae1575,31-Jan-2016,0.928409
03278679a55642fb2607b90d0883ab06c670e1ca,16-Feb-2016,0.955833
034f36ebd980912aae22b766c52078a0fd754221,28-Jan-2016,0.859659
039e59a33e98a672a6fd7c2d9a4ee0d6ab7de68d,01-Feb-2016,0.94375
03dbee69c8d134fd255ad4b1311d6850e3877c9c,29-Mar-2016,0.920455
03e05e4bb08bad7a24e774f8c8f7c656695db0e5,08-May-2016,0.175
0406926c4302db4902bb9e55c60483da470af428,20-Feb-2016,0.954621
041714c39cd29199f17de832cad1d8558e0e3f6f,22-Feb-2016,0.892513
043e2d8ee5966d22f55b378794b37aa345cbf031,06-Feb-2016,0.875836
0451d67297bf2325cf9e028126d276a9559d1d38,28-Jan-2016,0.889205
048ac1f672948894b4c00751215c23bfbc150355,26-Jan-2016,0.225
04b1c07cc599f16f81f3b8a615be3bde2544a756,21-Feb-2016,0.932955
0504ffc9df3eee3c52efdea9dcc5fb0aa1c6061c,08-Feb-2016,0.948371
0528cbde9586b9e7a458cc489ed5b44eccb9366c,27-Jan-2016,0.988788
05649c195dad1e9d0d4efdd2e4a6ec77a3558320,10-Feb-2016,0.857614
