ualberta_user_id,course_grade_ts,course_grade_verified
00107734d038767fcd1e88b6e173f475545b5017,27-Dec-2015,0.82875
0030163acac3f7b371ed89c73bd876c512d5da7f,11-Apr-2016,0.13125
0035f810529cc356d016ac5697bed2b776a53b0e,13-Mar-2016,0.91
003ac03d93c61a76a0a59c5aad904f525c096dc5,19-Jan-2016,0.939583
003fcf37384baf07b411ff50d247305bca4af40a,18-Dec-2015,0.25
0050af5e068885bc3ec6469f2d1cb677c4bbf554,14-Jan-2016,0
0082b03b07d3692d0a78f1b784fbb9b86b1abafd,20-Dec-2015,0.87625
009ec1d4f7e5cb985504393b1501dfa4b24e10dd,19-Feb-2016,0.92125
00b2bf1a305bc6b616c5a8442a21ec16826f7151,27-Dec-2015,0.865833
00c33da63a7cf14beb0c8957b39fe482123be41c,02-Jan-2016,0.8625
00c83fb450c957334d91267a735130c5638ea25c,25-Jan-2016,0.95
01498c4ccaab45485ef4a2c75f70d66fa1b4d8f3,01-Dec-2015,0
014c27be9698b3fea719f60b011ec421ef5ba731,22-Jan-2016,0
0159d1bc7495bbdd6237863ae2c7f0d3753866bb,18-Dec-2015,0.825
01737c8b29e445fe0386f27033671feb921bf1ed,11-Jan-2016,0
018639e6c9b5d8d4c48d480e101d43733bb8a99f,30-Dec-2015,0
018942c06b713255e1fd05938a01b91e0baf3acc,24-Dec-2015,0.9825
018f169f4b84d38d745748c18c1e8a6d7b56e07c,15-Dec-2015,0
01a4cefa07c1ddf1f81dbeacc498b6635b8d96a7,26-Dec-2015,0.9925
01bc70d5026d3bfb9eb2c1b4556b2943cac6cba4,12-Feb-2016,0.9675
01c033fce8e26c0b3bbdb79db7b457c6fed981d1,30-Nov-2015,0.995
01c523e99f1182003280cdcce5bc4daf3f3cc694,04-Dec-2015,0
01cc075cdacd53efac84aa58dcb0b088112b15ce,18-Mar-2016,0.8375
01e05ed110e60e0cac67f267987414f0f7dceca7,22-Dec-2015,0.880833
023371c91d609ec8912fb24f75f80cd87fbbc3ae,12-Jan-2016,0.09375
0277e820c1c903be6c61c41d8938a1ee9affb359,05-Apr-2016,0.15
027d68dc2138533e2241bf39ee6ca76bbca0a39c,22-Dec-2015,0.995
028c5d36d4a3eb204bf2afe587e1b74822cacd23,30-Jan-2016,0.9675
028f18bbf8cad0a286031c8cae4b53b24ba4967b,06-Mar-2016,1
02b1d15e1376bb0ef25e693d87780c107bf4c9c2,15-Jan-2016,0.9375
02be76e360e4375bd9510649e1c517f6f88d3294,06-Mar-2016,0.13125
02ff5edc4f91e6d16eee92d65733e237bc3723e6,11-Mar-2016,0
