course_id,ualberta_user_id,course_grade_ts,course_passing_state_id,course_grade_overall_passed_items,course_grade_overall,course_grade_verified_passed_items,course_grade_verified
"99SZyjVxEeW6RApRXdjJPw",7055a527e288302ba283ba6262590408cadf6987,2016-06-26 13:33:33.54,1,16,0.959256,14,0.898145
"99SZyjVxEeW6RApRXdjJPw",9ce843e5c54afe4a1c46932b9870f520d9af1af4,2016-06-23 00:11:34.994,2,16,0.932387,16,0.932387
"99SZyjVxEeW6RApRXdjJPw",4c4546adfdd1f58b40f4118c363c6b41a9250a90,2016-04-07 07:34:51.70,0,3,0.270909,3,0.270909
"99SZyjVxEeW6RApRXdjJPw",eb3949452fe3bd054de940a3a932e67f8203170e,2016-06-15 15:55:16.129,2,16,0.995,16,0.995
"99SZyjVxEeW6RApRXdjJPw",2324d8bd5f5081759a9043e8be13f6ed5c090bda,2016-06-28 17:47:26.958,2,16,0.966944,16,0.966944
"99SZyjVxEeW6RApRXdjJPw",d89581d249e508aaaec2f1e168db78ca205dc646,2016-06-28 19:46:25.207,2,16,0.949514,16,0.949514
"99SZyjVxEeW6RApRXdjJPw",4578e03486721eeeccba401e4301734981d4181c,2016-05-04 16:15:15.377,2,16,0.962576,16,0.962576
"99SZyjVxEeW6RApRXdjJPw",4b46b94ad46e1b6b55d0ff413f5708ede838ea17,2016-06-28 15:50:36.186,2,16,0.94702,16,0.94702
"99SZyjVxEeW6RApRXdjJPw",757f145ad0a8c40ebc669732d49d9f832dd19132,2016-05-01 02:37:59.01,2,16,0.985,16,0.985
"99SZyjVxEeW6RApRXdjJPw",4bc641a3ca26d6ac92be39b6c1ee916af97cb626,2016-04-13 09:49:42.755,2,16,0.98,16,0.98
"99SZyjVxEeW6RApRXdjJPw",3b42dc3423fd8b595de0f770d429f8fe48fa17c1,2016-07-04 14:51:16.069,2,16,0.995,16,0.995
"99SZyjVxEeW6RApRXdjJPw",f7a2e368613e86af389b4d76406e0f41464e14a0,2016-04-16 23:34:17.663,2,16,0.959917,16,0.959917
"99SZyjVxEeW6RApRXdjJPw",5ebad0c8d258608e9fe7c394b27d094a642e4dce,2016-05-01 01:07:37.569,2,16,0.975,16,0.975
"99SZyjVxEeW6RApRXdjJPw",4a9b6b42a8d7ee64d5b9051198b89125daf38f92,2016-04-18 14:39:57.749,2,16,0.975,16,0.975
"99SZyjVxEeW6RApRXdjJPw",5723fcb34606f6a37ac9e5df4d15cc901a7f0fdf,2016-04-27 08:56:22.219,2,16,0.969126,16,0.969126
"99SZyjVxEeW6RApRXdjJPw",424b573447807d3f7aa6dfb23b75a34ebec02026,2016-04-27 06:27:12.255,2,16,0.940465,16,0.940465
"99SZyjVxEeW6RApRXdjJPw",285e5b8f05b382aab0a74e991f9e3a2b78b41531,2016-06-27 15:09:58.728,2,16,0.939196,16,0.939196
"99SZyjVxEeW6RApRXdjJPw",21b5d33fb9b617464d942430bc52c82e927a1749,2016-05-01 07:32:07.063,2,16,0.949444,16,0.949444
