question_id,ualberta_demographics_user_id,submission_ts,choice_id,answer_int
11,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,1,
12,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,0,1988
13,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,17,
14,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,17,
16,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,1,
17,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,6,
18,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,8,
19,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,2,
20,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,5,
21,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,10,
21,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,11,
22,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,0,
23,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,3,
24,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,3,
24,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,4,
24,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,5,
25,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,16,
25,335bbbe24136f3c2973f1a1ee0ffbb69dab7dd6e,2014-10-02 12:15:17,23,
11,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,1,
12,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,0,1982
13,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,55,
14,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,55,
16,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,2,
17,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,7,
18,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,8,
19,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,2,
20,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,0,
21,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,5,
21,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,31,
22,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,5,
23,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,5,
24,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,3,
24,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,4,
24,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,5,
25,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,5,
25,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,6,
25,ec95d71507cb9b8329170d78547fc486a4ac0070,2013-10-09 17:59:31,25,
11,1f9f49fb11e4a44170f40ebe10ecf28b9c67e002,2013-10-01 23:45:33,1,
12,1f9f49fb11e4a44170f40ebe10ecf28b9c67e002,2013-10-01 23:45:33,0,1970
13,1f9f49fb11e4a44170f40ebe10ecf28b9c67e002,2013-10-01 23:45:33,35,
