course_id,feedback_system,ualberta_feedback_user_id,feedback_category,feedback_text,feedback_ts
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",40dbc3651eac8d74c7153eae05215e792363302e,"NPS_REASON","Its awesome.",2016-03-27 12:02:50.508
"99SZyjVxEeW6RApRXdjJPw","STAR",40dbc3651eac8d74c7153eae05215e792363302e,"generic","Awesome practical experience. Wonderful.",2016-03-22 08:46:13.111
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",832be4df6bdd650914b9904e82b0e3c570b51da4,"NPS_REASON","",2016-03-31 10:10:05.694
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",32de7c6b478dc7d96fb7462122a4609fc2eadfa3,"NPS_REASON","",2016-03-29 11:10:08.22
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",52e54c8e81dc9851629e55d4aec13fd59b198bf8,"NPS_REASON","",2016-03-28 09:06:23.892
"99SZyjVxEeW6RApRXdjJPw","NPS_END_OF_COURSE",5606ac915fec22e4ec7c894632002b8e0faf44fb,"NPS_REASON","G",2016-05-04 07:06:35.487
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",dbdb0480efcc65511249fb56a300909469ba222f,"NPS_REASON","Good learning experience, bringing the theory from the previous courses into action. I like the extensive use of peer reviews.",2016-04-02 11:58:15.454
"99SZyjVxEeW6RApRXdjJPw","NPS_END_OF_COURSE",c2455adea47d17777b880fcabe785981d4bc3591,"NPS_REASON","completeness",2016-04-27 23:09:35.504
"99SZyjVxEeW6RApRXdjJPw","NPS_END_OF_COURSE",823c07b370d3d3034c493f544530c11f608988fa,"NPS_REASON","the interactive simulation for the capstone is so awesome i wish somehow i can download it for my own future reference..",2016-04-29 00:28:03.439
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",823c07b370d3d3034c493f544530c11f608988fa,"NPS_REASON","The materials are great but gosh the assesments is made so easy that i literally don't have to study to pass it, what's the point? Bet my retention of actual knowledge after this SPM specialisation will be quite low, because i'mt not challenged to know it by heart. The only attraction is get to put this on LinkedIn quite easily.",2016-04-03 13:17:30.947
"99SZyjVxEeW6RApRXdjJPw","NPS_END_OF_COURSE",11744a320535fa071dd37d0463bbe8f7420745d2,"NPS_REASON","The content is very useful. I was able to implement what I learned in my job.",2016-04-24 21:31:36.353
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",fd254424b72592bc00e1ec8b707f778a5ed45223,"NPS_REASON","",2016-04-02 09:12:00.565
"99SZyjVxEeW6RApRXdjJPw","NPS_END_OF_COURSE",eadb518afde9fd3198031129a19e2f4a16483f10,"NPS_REASON","Good course.",2016-05-04 06:59:04.24
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",eadb518afde9fd3198031129a19e2f4a16483f10,"NPS_REASON","",2016-04-01 18:22:12.35
"99SZyjVxEeW6RApRXdjJPw","NPS_END_OF_COURSE",76dc14739e959f0c2b22c6207596ea3463faa977,"NPS_REASON","lots of good knowledge",2016-05-02 14:01:14.936
"99SZyjVxEeW6RApRXdjJPw","STAR",c3dd4b75021a6b62a1c91adb80edd837042b8f16,"generic","Capstone was very well put together and by far the highlight of the course! Amazing job by the course developers to create such an interactive finale to the course that brought together all the concepts into a real world simulation!",2016-04-11 00:19:10.224
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",191de34e5bc8b078862254d79c7f527134320073,"NPS_REASON","",2016-04-03 02:09:04.126
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",1acde376566be41fb613726846f2d27e6165c1d1,"NPS_REASON","helpful",2016-04-02 06:58:23.629
"99SZyjVxEeW6RApRXdjJPw","NPS_END_OF_COURSE",f2276c24864a82117abebba900fd7da0a25406e3,"NPS_REASON","Hands on demonstration of Agile methodology",2016-04-27 15:17:36.838
"99SZyjVxEeW6RApRXdjJPw","STAR",b714f5b91c87b47595f9605db88d4f7d8617ba06,"generic","Excellent practical projects. Well run and great interactive tools.",2016-05-01 07:46:12.23
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",285d4f5a4753f8a819eecaee27e8e548c89b0f02,"NPS_REASON","Well organised and interesting content",2016-04-01 19:42:45.952
"99SZyjVxEeW6RApRXdjJPw","NPS_END_OF_COURSE",0d85d0f7f4805934f61fb04165638a2878fb98a0,"NPS_REASON","The assignments were rather easy if you knew what was actually asked for and peer reviews rather had medium quality since other learners just rush through. Also the time used for the whole course was at least 40-50% more than suggested.",2016-05-02 08:50:41.292
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",0d85d0f7f4805934f61fb04165638a2878fb98a0,"NPS_REASON","Oh, I thought you meant the specialization, since as this is the capstone, I don't consider it a project. How can I give a score that early into the capstone!?",2016-03-25 19:06:03.681
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",4a0d9c25d3d8e3fe0b319aa0e1840255bb06ceb4,"NPS_REASON","great job so far",2016-04-04 00:12:56.435
"99SZyjVxEeW6RApRXdjJPw","NPS_END_OF_COURSE",f034d844fbeec2fc2ba54f67232cea57daad75e4,"NPS_REASON","",2016-04-04 17:28:31.821
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",a2c6b4e978f04fde189489b5ad776310c82e3a40,"NPS_REASON","Quizes and task are usually not clear. They can be interpreted in different ways. Examples provided are ok, but amount of them is low and they constantly are being repeated.",2016-03-29 08:26:21.339
"99SZyjVxEeW6RApRXdjJPw","NPS_END_OF_COURSE",932bd67614e1cf33fca36c9baafa2c11c4229bc6,"NPS_REASON","The way the university appraoched the teaching.",2016-05-01 23:41:36.183
"99SZyjVxEeW6RApRXdjJPw","STAR",932bd67614e1cf33fca36c9baafa2c11c4229bc6,"generic","Exellent Capstone by simulating a problem and working in a solution of what was learned over the past several months.",2016-05-01 23:47:02.448
"99SZyjVxEeW6RApRXdjJPw","STAR",f4c2c92532473052d09a75bcd81cef25ca7aca12,"generic","Well planned and with exciting activities, the capstone was a great final step for the course!",2016-05-12 12:11:30.781
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",1ba8787cbe2c8eac1952ca016c76bbf3fd0fac86,"NPS_REASON","",2016-04-02 16:44:43.846
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",38a349cdace59541d2f924563173d29ad09b4716,"NPS_REASON","Comprehension and universality!",2016-03-28 08:12:23.391
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",a8d2b6f94e01f2fc3b7afa2f5d3fedece58165e6,"NPS_REASON","help me to undestand all content.",2016-03-25 01:44:29.83
"99SZyjVxEeW6RApRXdjJPw","NPS_END_OF_COURSE",782a750d330766a661d26371b92dafe1a7a2c148,"NPS_REASON","Trata temas importantes de manera concreta, temas con los que un profesional de software se enfrenta muy a menudo.",2016-05-04 20:48:00.469
"99SZyjVxEeW6RApRXdjJPw","NPS_FIRST_WEEK",782a750d330766a661d26371b92dafe1a7a2c148,"NPS_REASON","La especialización ofrece una visión del desarrollo de software enfocado a metodologías agiles, de manera rápida y precisa.",2016-03-30 04:21:02.114
"99SZyjVxEeW6RApRXdjJPw","NPS_END_OF_COURSE",d1a9292dd2da21af1ca308339053a95b2db225c8,"NPS_REASON","I learned a lot from this specialization. The material was of high quality and well organized.",2016-05-18 09:00:21.181
