ualberta_user_id,course_id,met_payment_condition,was_payment,was_finaid_grant,was_group_sponsored
00c33da63a7cf14beb0c8957b39fe482123be41c,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
7305d96dd0b45436606f21a37ccbcf5919063019,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
1604e17e7cc83f3016e7bb86258f8ba0d50b20e6,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
6d66d0f7d303dea72753fa4b4eb41b49f7b73e58,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
d82353cfd460cf57ab6534414b6486d123a9eda1,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
97956fa66f22bb79c9505e3fc89900173a43fd8a,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
447b607910982ca9fc483bf7e557eca3e43fad74,"99SZyjVxEeW6RApRXdjJPw",t,t,t,f
1cc6a503e0839ee78a0d561f433ff0983186ef2e,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
cdcfc9387a4739575fd69d41ba2b8182b474a19e,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
f85ad44bc4c82b487db03c2d0e809c08d601c6bc,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
da432b5507dc1138ed35a2b5f8d2dc3257a40f16,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
2cccee7343a8b23c15bbf55e3556f9bc4f8620d3,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
2d7c424d87fee0bd914ce746efb4e1538f100f0a,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
1be075e41de282dd75ad4d409fb29abcf3abd736,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
1aea387a151766b404c6151d757e9ae926d9ad8f,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
c2e810532f0a965d64943d24a897f09a95dae3f9,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
49ab6a5e3b09c8e7144bf977606b940dee2d7c00,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
dabd23fd78039a42831b8852a67ee35b3e6fa94c,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
