ualberta_discussions_user_id,course_id,discussion_question_id,discussion_question_following_active,discussion_question_following_ts
cdafa0ca57f6f32d155aaf106557b50fc670fee1,"99SZyjVxEeW6RApRXdjJPw","nPzVPgfhEeaFxAruJmtipQ",t,2016-04-21 16:53:46.515
6414708e7bb71b16ed94ba40ca28e2b4d3c28978,"99SZyjVxEeW6RApRXdjJPw","_xwdtwqbEeatoxIqWXQc8Q",t,2016-04-25 04:12:59.80
4a53a21cae1cae164486b91ebf5a16023401649f,"99SZyjVxEeW6RApRXdjJPw","_xwdtwqbEeatoxIqWXQc8Q",t,2016-04-25 14:08:45.167
8b2c6d0d8eb563f86176244c3a4fd2d6e0462509,"99SZyjVxEeW6RApRXdjJPw","qIw0cxFSEeaO1w7d1s7iLw",t,2016-05-03 17:15:39.457
36e555bf61269f6cbc3434e02b5b28085c45a78b,"99SZyjVxEeW6RApRXdjJPw","6Q2iT--yEeWPKQpBKpg03Q",t,2016-03-21 22:18:59.828
8449eb049cf23b58beb6c9cf069b1b66764c9881,"99SZyjVxEeW6RApRXdjJPw","h4YyBgZeEeaGrhI0SW4tcQ",t,2016-04-19 18:42:55.195
eca453e58264b7cf8ed10de5d650a5e1b7507fc8,"99SZyjVxEeW6RApRXdjJPw","y-bf8vt8EeWS4Ar9qFG8UQ",t,2016-04-05 22:21:52.068
d08d98eaac485565987a70517385afa4c04c6140,"99SZyjVxEeW6RApRXdjJPw","FrZC9wk8EeaWWg6E9amO-Q",t,2016-04-23 10:13:56.571
87311e6ed7e862ca3055468546b439a900edb980,"99SZyjVxEeW6RApRXdjJPw","FrZC9wk8EeaWWg6E9amO-Q",t,2016-04-24 21:53:51.008
a68fe6837396b81ccab5a74aa30d235ebb5317d9,"99SZyjVxEeW6RApRXdjJPw","StM-QftYEeWhAhJG54yYkQ",t,2016-04-06 16:04:38.797
a68fe6837396b81ccab5a74aa30d235ebb5317d9,"99SZyjVxEeW6RApRXdjJPw","aPRTq_AKEeWK_Q7eN25hdw",t,2016-03-22 12:54:13.106
9a36f1310b3a1d3be063851a6233e00bbe961469,"99SZyjVxEeW6RApRXdjJPw","Qb9-CQx-EeaZrBJIefqa4w",t,2016-04-27 13:57:14.467
ec2f45971e80610b9f6fe3330534ec81db67764e,"99SZyjVxEeW6RApRXdjJPw","Qb9-CQx-EeaZrBJIefqa4w",t,2016-04-27 13:45:09.058
ec2f45971e80610b9f6fe3330534ec81db67764e,"99SZyjVxEeW6RApRXdjJPw","y-bf8vt8EeWS4Ar9qFG8UQ",t,2016-04-09 06:58:51.862
f39c6349af74c10aee999548e0e34ac28078c8ef,"99SZyjVxEeW6RApRXdjJPw","StM-QftYEeWhAhJG54yYkQ",t,2016-04-06 12:37:58.594
40bb3dd1228046dc3c53504138fc124468c130d9,"99SZyjVxEeW6RApRXdjJPw","StM-QftYEeWhAhJG54yYkQ",t,2016-04-05 18:00:33.626
a1405f8554c8635dc9fd7124a5fb4a77931faecf,"99SZyjVxEeW6RApRXdjJPw","aPRTq_AKEeWK_Q7eN25hdw",t,2016-03-22 08:45:20.635
6700e41cae180eae210f8c531484fe3283ad6ee4,"99SZyjVxEeW6RApRXdjJPw","y-bf8vt8EeWS4Ar9qFG8UQ",t,2016-04-09 16:24:12.196
4d1cbbd3884a438b3dd7d18b25a78015a537bd70,"99SZyjVxEeW6RApRXdjJPw","tzjdjAA2EealQw7xlSHNnQ",t,2016-04-23 11:02:44.804
2af8e71a1e975eccd268f9b956409b43fff1f541,"99SZyjVxEeW6RApRXdjJPw","tzjdjAA2EealQw7xlSHNnQ",t,2016-04-11 22:42:48.381
09496afbb7d49e39d2853bf4d6e66985e6c73021,"99SZyjVxEeW6RApRXdjJPw","tzjdjAA2EealQw7xlSHNnQ",t,2016-04-13 09:28:32.162
6ca09c340e4f7574ab87c56bbf33e8c38ebe6573,"99SZyjVxEeW6RApRXdjJPw","DKEiqTsJEeaIhBLoYw6bKw",t,2016-06-25 19:14:33.436
052da0970cdae7cf4de186fc99cb19e9bbcfd46d,"99SZyjVxEeW6RApRXdjJPw","hthyO_H9EeWWORKcDoY1lQ",t,2016-03-24 20:18:09.638
6bf685d05836f223bff34a3a642b9bfad3b2d566,"99SZyjVxEeW6RApRXdjJPw","XFK_ygPLEeaTWRLC7rustw",t,2016-04-16 12:04:24.39
e9787c4aadb4eaba0486789253a55da8fab8c733,"99SZyjVxEeW6RApRXdjJPw","hthyO_H9EeWWORKcDoY1lQ",t,2016-03-27 15:11:16.382
8179caca1c62b64d7ecc29b8a202524ec4c91fc5,"99SZyjVxEeW6RApRXdjJPw","c7ONdfBoEeWK_Q7eN25hdw",t,2016-03-25 00:40:12.08
4b436a6cb507663af5c54ae345acbcd979d3b2eb,"99SZyjVxEeW6RApRXdjJPw","c7ONdfBoEeWK_Q7eN25hdw",t,2016-03-22 23:37:46.825
9dc0df3d14c5ada1256558be2bb31b15e608a791,"99SZyjVxEeW6RApRXdjJPw","c7ONdfBoEeWK_Q7eN25hdw",t,2016-03-22 19:58:31.362
3099eb853773b299501458ef8eafba4e63fa4166,"99SZyjVxEeW6RApRXdjJPw","dYS2AwkaEeau9AoaFBtgPw",t,2016-04-23 06:13:12.716
0fa0dedfc5e23cff6cc38fea3679397fb9fcdcc9,"99SZyjVxEeW6RApRXdjJPw","dYS2AwkaEeau9AoaFBtgPw",t,2016-04-24 14:50:02.752
8179caca1c62b64d7ecc29b8a202524ec4c91fc5,"99SZyjVxEeW6RApRXdjJPw","hE31rPITEeWkUAr_DMJ5Lw",t,2016-03-26 23:02:36.481
bb9cb045d9c2e2b1884e2c8884d096db2e784a16,"99SZyjVxEeW6RApRXdjJPw","hE31rPITEeWkUAr_DMJ5Lw",t,2016-03-28 03:51:15.167
a2d32eba19a5b9523814068d14d90ed7823a7cd2,"99SZyjVxEeW6RApRXdjJPw","hE31rPITEeWkUAr_DMJ5Lw",t,2016-03-26 21:33:06.959
a2d32eba19a5b9523814068d14d90ed7823a7cd2,"99SZyjVxEeW6RApRXdjJPw","hE31rPITEeWkUAr_DMJ5Lw",f,2016-03-28 22:34:33.482
9d9ccdb9cdf1e880351fc7ed15e34d2ec8cc3975,"99SZyjVxEeW6RApRXdjJPw","hE31rPITEeWkUAr_DMJ5Lw",t,2016-03-24 22:55:34.317
d513431a3dbd93327ed8119dbd50c338e88c9975,"99SZyjVxEeW6RApRXdjJPw","hE31rPITEeWkUAr_DMJ5Lw",t,2016-03-25 10:21:44.185
9c545140ddfd04517d924377ab3c40a54cc7c9f6,"99SZyjVxEeW6RApRXdjJPw","VOhSz_LMEeWnOBISxifLdw",t,2016-03-27 09:25:30.758
62ee75c6a2a0878b0a803777e76b77055a49f7d7,"99SZyjVxEeW6RApRXdjJPw","x2kcTvG_EeWB0QpuSDkq-Q",t,2016-03-24 12:56:09.174
9a36f1310b3a1d3be063851a6233e00bbe961469,"99SZyjVxEeW6RApRXdjJPw","lWF54wdFEeaBWgq4VfKpVw",t,2016-04-28 13:23:35.119
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","lWF54wdFEeaBWgq4VfKpVw",t,2016-04-21 07:32:35.614
5ee214b26b3b3693185eefe052a4363a39e63863,"99SZyjVxEeW6RApRXdjJPw","lWF54wdFEeaBWgq4VfKpVw",t,2016-04-20 22:16:52.231
c65aa2528cde0a310556e45886567c606e303a9b,"99SZyjVxEeW6RApRXdjJPw","VOhSz_LMEeWnOBISxifLdw",t,2016-03-25 20:58:31.736
f57a3382e7c445f9ef13540fa33bcb3c2263a2a2,"99SZyjVxEeW6RApRXdjJPw","A0H1OQylEeaNagrozOF-VQ",t,2016-04-27 18:22:34.563
ed7d3909822227f6d357639c79c52861f507658e,"99SZyjVxEeW6RApRXdjJPw","BxLUqTcpEeaxRgoHcBYCIQ",t,2016-06-23 21:19:35.577
3167ce07d6488757523b6a9cf9d1b364e0ad4561,"99SZyjVxEeW6RApRXdjJPw","BxLUqTcpEeaxRgoHcBYCIQ",t,2016-06-23 09:58:15.621
3167ce07d6488757523b6a9cf9d1b364e0ad4561,"99SZyjVxEeW6RApRXdjJPw","BxLUqTcpEeaxRgoHcBYCIQ",f,2016-06-23 09:58:16.922
3e568595f32035978a48487f890cadcab4c4f694,"99SZyjVxEeW6RApRXdjJPw","BxLUqTcpEeaxRgoHcBYCIQ",t,2016-06-20 20:53:23.373
b7ce60483fa782c6c36065ccefa75664fb83cf8e,"99SZyjVxEeW6RApRXdjJPw","d_cMuCKGEeaZ7Q5tseGlgQ",t,2016-05-25 14:39:21.559
93cf65ac1b7619044944efe0945ee6b7d8b6fc42,"99SZyjVxEeW6RApRXdjJPw","19Jy3u-fEeWfwAohgaM63Q",t,2016-03-21 20:02:30.563
95c793b92147f1074ad4f2d8146d611f4204e8e8,"99SZyjVxEeW6RApRXdjJPw","_iTtZwSgEeagVwrGhMvzTw",t,2016-04-17 13:33:38.687
9a36f1310b3a1d3be063851a6233e00bbe961469,"99SZyjVxEeW6RApRXdjJPw","_iTtZwSgEeagVwrGhMvzTw",t,2016-04-18 13:23:02.856
5ee214b26b3b3693185eefe052a4363a39e63863,"99SZyjVxEeW6RApRXdjJPw","xD-e0_ADEeWWORKcDoY1lQ",t,2016-03-22 07:57:47.304
5b37c5cdb67380c7b18960076e2c248527aa7746,"99SZyjVxEeW6RApRXdjJPw","2ezKx-_IEeW3AhKGdOu9ew",t,2016-03-22 00:56:03.382
1bdb5473107d893f760485fd0580a8470e254035,"99SZyjVxEeW6RApRXdjJPw","Z8HFQR0rEea_TAo4ODIo0w",t,2016-05-18 19:04:54.337
177da4a56e5093dfe11437b511b70395894885ab,"99SZyjVxEeW6RApRXdjJPw","XOPp7zszEeaVABKtWz_zNw",t,2016-06-26 00:17:26.947
