ualberta_discussions_user_id,course_id,discussion_answer_id,discussion_answer_vote_value,discussion_answer_vote_ts
80d125ff88c38e587f965562dbcd00c25773fb27,"99SZyjVxEeW6RApRXdjJPw","INB5KfBjEeWB0QpuSDkq-Q",1,2016-03-23 11:59:04.096
80d125ff88c38e587f965562dbcd00c25773fb27,"99SZyjVxEeW6RApRXdjJPw","INB5KfBjEeWB0QpuSDkq-Q",0,2016-03-23 11:59:02.62
80d125ff88c38e587f965562dbcd00c25773fb27,"99SZyjVxEeW6RApRXdjJPw","INB5KfBjEeWB0QpuSDkq-Q",1,2016-03-23 09:50:59.198
db9cd35aa57c609aa886936952b177d03a658896,"99SZyjVxEeW6RApRXdjJPw","Ef4geg1fEeaxsBIihWq87Q",1,2016-04-29 16:27:28.702
10b58e5726aca57a86fecb62b9517d12a7a4a02b,"99SZyjVxEeW6RApRXdjJPw","VLuS_fCvEeWB0QpuSDkq-Q",1,2016-03-23 15:21:39.564
0b6155f11b5edccab7a0e655818e6137671a1b4a,"99SZyjVxEeW6RApRXdjJPw","Ef4geg1fEeaxsBIihWq87Q",1,2016-04-29 08:54:52.541
958e31650db7e044db167e4d511eea5a5ebee126,"99SZyjVxEeW6RApRXdjJPw","Ef4geg1fEeaxsBIihWq87Q",1,2016-04-29 13:49:05.111
9c545140ddfd04517d924377ab3c40a54cc7c9f6,"99SZyjVxEeW6RApRXdjJPw","Ef4geg1fEeaxsBIihWq87Q",1,2016-05-02 04:46:17.973
6918a6e53d989bc484eea9db210f2f6783e08fb8,"99SZyjVxEeW6RApRXdjJPw","Ef4geg1fEeaxsBIihWq87Q",1,2016-05-05 11:45:49.172
d042dc486aff1f3ede8c8a023ffc51558fb452b0,"99SZyjVxEeW6RApRXdjJPw","Ef4geg1fEeaxsBIihWq87Q",1,2016-04-28 19:28:24.024
4a53a21cae1cae164486b91ebf5a16023401649f,"99SZyjVxEeW6RApRXdjJPw","Ef4geg1fEeaxsBIihWq87Q",1,2016-04-29 17:45:30.69
9dc0df3d14c5ada1256558be2bb31b15e608a791,"99SZyjVxEeW6RApRXdjJPw","VLuS_fCvEeWB0QpuSDkq-Q",1,2016-03-23 09:18:31.013
f57a3382e7c445f9ef13540fa33bcb3c2263a2a2,"99SZyjVxEeW6RApRXdjJPw","xW1SN_DeEeWPKQpBKpg03Q",1,2016-03-23 10:10:39.478
bb9cb045d9c2e2b1884e2c8884d096db2e784a16,"99SZyjVxEeW6RApRXdjJPw","wts27v5gEeWpRBJSZ0Y3Bw",1,2016-04-09 20:56:43.159
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","RpSKRQMiEeaFvxKtmk5LcQ",1,2016-04-15 23:03:16.279
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","EKoZOPqHEeWGRgp2IDLuIQ",1,2016-04-21 07:12:06.508
35b90de86c7237d5c3527899b78d701343fbf0d7,"99SZyjVxEeW6RApRXdjJPw","HMpyATkTEeaJZA6Ew5-W7Q",1,2016-06-27 01:44:19.834
10b58e5726aca57a86fecb62b9517d12a7a4a02b,"99SZyjVxEeW6RApRXdjJPw","GKfPFwGeEeaFvxKtmk5LcQ",1,2016-04-14 09:07:24.534
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","mhi74vzPEeWS4Ar9qFG8UQ",1,2016-04-21 07:39:07.061
c800ae9ca7bccac81d829d385f1c3f228f665fce,"99SZyjVxEeW6RApRXdjJPw","UrpMRPOxEeWfohJ0hvQveQ",1,2016-03-28 20:42:55.188
09496afbb7d49e39d2853bf4d6e66985e6c73021,"99SZyjVxEeW6RApRXdjJPw","fCdy-f3GEeWa4BJaeUokOQ",1,2016-04-14 13:07:33.358
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","fCdy-f3GEeWa4BJaeUokOQ",1,2016-04-21 07:06:00.459
ecf4c8761ff3f0e3365a2973dfd59a4f08194266,"99SZyjVxEeW6RApRXdjJPw","BYWroDfFEeadhwqsf_OHNQ",1,2016-06-21 23:20:02.768
f39c6349af74c10aee999548e0e34ac28078c8ef,"99SZyjVxEeW6RApRXdjJPw","KjdVkhCgEeaxsBIihWq87Q",1,2016-05-03 14:29:00.628
10b58e5726aca57a86fecb62b9517d12a7a4a02b,"99SZyjVxEeW6RApRXdjJPw","KjdVkhCgEeaxsBIihWq87Q",1,2016-05-04 08:15:24.282
62f2ccc73809aacc817b0853f6d8aac75c6e6cad,"99SZyjVxEeW6RApRXdjJPw","KjdVkhCgEeaxsBIihWq87Q",1,2016-05-02 20:01:00.504
9dc0df3d14c5ada1256558be2bb31b15e608a791,"99SZyjVxEeW6RApRXdjJPw","KjdVkhCgEeaxsBIihWq87Q",1,2016-05-02 20:00:48.94
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","lb04OgWkEeaXyAokJRhgfQ",1,2016-04-18 23:33:50.702
a590c973b734fda6bfd87087103326408795dea7,"99SZyjVxEeW6RApRXdjJPw","08VJDyKHEeaNSw6v6KnGpw",1,2016-05-27 13:22:26.357
0b6155f11b5edccab7a0e655818e6137671a1b4a,"99SZyjVxEeW6RApRXdjJPw","pcUzGv5uEeWjZRIrkC40zw",0,2016-04-09 16:21:34.359
0b6155f11b5edccab7a0e655818e6137671a1b4a,"99SZyjVxEeW6RApRXdjJPw","pcUzGv5uEeWjZRIrkC40zw",1,2016-04-09 16:19:53.022
eca453e58264b7cf8ed10de5d650a5e1b7507fc8,"99SZyjVxEeW6RApRXdjJPw","fnuP7P5vEeWpRBJSZ0Y3Bw",1,2016-04-09 16:31:29.551
ec2f45971e80610b9f6fe3330534ec81db67764e,"99SZyjVxEeW6RApRXdjJPw","fnuP7P5vEeWpRBJSZ0Y3Bw",1,2016-04-09 18:36:09.557
8179caca1c62b64d7ecc29b8a202524ec4c91fc5,"99SZyjVxEeW6RApRXdjJPw","wVSTkPOKEeWB9gr2ttYzXQ",1,2016-03-26 19:55:04.542
bb9cb045d9c2e2b1884e2c8884d096db2e784a16,"99SZyjVxEeW6RApRXdjJPw","wVSTkPOKEeWB9gr2ttYzXQ",1,2016-03-28 00:55:40.309
80d125ff88c38e587f965562dbcd00c25773fb27,"99SZyjVxEeW6RApRXdjJPw","ovDeCPBcEeWkUAr_DMJ5Lw",1,2016-03-23 09:51:02.357
