course_branch_id,course_item_id,course_lesson_id,course_branch_item_order,course_item_type_id,course_branch_item_name,course_branch_item_optional
"99SZyjVxEeW6RApRXdjJPw","SAE71","hiUp9",8,3,"5.9 Resource: Week 5 Project Release Plan (Proposed Solution)",f
"99SZyjVxEeW6RApRXdjJPw","5rtCp","1DmNT",7,3,"1.8 Tutorial: Using Google Documents",f
"99SZyjVxEeW6RApRXdjJPw","jvqt4","hiUp9",3,1,"5.4 Video Simulation: Standup Meeting (Friday)",f
"99SZyjVxEeW6RApRXdjJPw","Je4bP","g9S3n",6,1,"6.6 Video Simulation: Project Retrospective",f
"99SZyjVxEeW6RApRXdjJPw","LyIPI","g9S3n",10,3,"Discussion Forum: Your Specialization Experience",f
"99SZyjVxEeW6RApRXdjJPw","rVbki","6dUH6",0,3,"3.1 Resource: Project Requirements/User Stories",f
"99SZyjVxEeW6RApRXdjJPw","MvqRu","mFBaV",11,3,"4.12 Email: Iteration Plan Explanation",f
"99SZyjVxEeW6RApRXdjJPw","plJIh","mFBaV",9,3,"4.10 Resource: Week 4 Project Release Plan  (Proposed Solution)",f
"99SZyjVxEeW6RApRXdjJPw","2ws1e","Rk10Z",2,3,"0.2 Tutorial: Capstone Introduction",f
"99SZyjVxEeW6RApRXdjJPw","E6m7K","mFBaV",10,12,"4.11 Assignment: Iteration Plan for Sprint 2 (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","9b8pe","1DmNT",0,3,"1.1 Email: Greetings from Inukshuk Books",f
"99SZyjVxEeW6RApRXdjJPw","WvvJI","hiUp9",0,1,"5.1 Video Simulation: Standup Meeting (Monday)",f
"99SZyjVxEeW6RApRXdjJPw","guCCo","Rk10Z",1,1,"0.1 Introduction",f
"99SZyjVxEeW6RApRXdjJPw","dvhTj","Rk10Z",4,3,"0.4 Discussion Forum: Introduce Yourself",f
"99SZyjVxEeW6RApRXdjJPw","QRtNY","g9S3n",1,3,"6.2 Decision Tree: Loose Cannon",f
"99SZyjVxEeW6RApRXdjJPw","nXRPD","Rk10Z",5,3,"0.5 Capstone Assignments - Time Estimates",f
"99SZyjVxEeW6RApRXdjJPw","iVATJ","Rk10Z",3,3,"0.3 Software Product Management Capstone Community Guidelines",f
"99SZyjVxEeW6RApRXdjJPw","G5Mcg","hiUp9",5,1,"5.6 Video Simulation: Backlog Refinement  (Friday)",f
"99SZyjVxEeW6RApRXdjJPw","iVUCC","mFBaV",0,1,"4.1 Video Simulation: Standup Meeting (Wednesday)",f
"99SZyjVxEeW6RApRXdjJPw","tL85J","1DmNT",4,3,"1.5 Email: TedTalk Video",f
"99SZyjVxEeW6RApRXdjJPw","lRHE2","d2ajb",2,12,"2.3 Assignment: Risk Plan (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","bWWG0","6dUH6",2,3,"3.3 Tutorial: Prioritization Template",f
"99SZyjVxEeW6RApRXdjJPw","YLJk4","hiUp9",12,12,"5.13 Assignment: Iteration Plan for Sprint 3 (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","jDnF8","6dUH6",12,12,"3.13 Assignment: Product Wireframe (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","8hQcr","6dUH6",11,12,"3.12: Assignment: Iteration Plan for Sprint 1 (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","ODzGD","mFBaV",2,1,"4.3 Video Simulation: Standup Meeting (Friday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","xJHiY","mFBaV",7,1,"4.8 Video Simulation: Sprint Retrospective (Friday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","gTqXT","Rk10Z",4,6,"0.4 Plagiarism Quiz",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","q0yAj","mFBaV",6,12,"4.7 Assignment: Iteration Burndown Sprint 1 (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","MvqRu","mFBaV",13,3,"4.14 Email: Iteration Plan Explanation",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","NiskR","6dUH6",3,3,"3.4 Decision Tree: Prioritization Meeting",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","PvXZU","hiUp9",7,12,"5.8 Assignment: Week 5 Release Plan (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","dwE0u","Rk10Z",3,3,"0.3 Software Product Management Capstone Community Guidelines",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","YLJk4","hiUp9",12,12,"5.13 Assignment: Iteration Plan for Sprint 3 (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","sEgA8","6dUH6",10,3,"3.11 Email: Task Breakdown",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","9b8pe","1DmNT",0,3,"1.1 Email: Greetings from Inukshuk Books",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","mB7aQ","1DmNT",1,3,"1.2 Tutorial: Decision Tree",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","7EAan","mFBaV",1,3,"4.2 Email: Acceptance Tests",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","iVUCC","mFBaV",0,1,"4.1 Video Simulation: Standup Meeting (Wednesday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","2ws1e","Rk10Z",2,3,"0.2 Tutorial: Capstone Introduction",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","11NAh","Rk10Z",0,1,"Capstone Preview",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","vG7i3","6dUH6",5,6,"3.6 Assessment: Prioritization (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","rxVJw","6dUH6",4,3,"3.5 Email: Risk Assessment",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","7UTtN","1DmNT",8,12,"1.9 Assignment: Requirements Document (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","ZYvUp","hiUp9",11,3,"5.12 Resource: Sprint 2 Retrospective - Meeting Minutes (Friday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","lp9qN","mFBaV",9,3,"4.10 Exercise: Week 4 Release Planning",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","bWWG0","6dUH6",2,3,"3.3 Tutorial: Prioritization Template",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","LO8xW","mFBaV",2,4,"4.3 Assignment: Writing Acceptance Criteria and Tests",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","mXFFQ","6dUH6",1,3,"3.2 Email: Size Estimates and Dependencies",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","6rdPD","g9S3n",7,12,"6.8 Assignment: Personal Project Retrospective (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","fFMh9","hiUp9",9,12,"5.10 Assignment: Release Burndown (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","a3J40","mFBaV",10,12,"4.11 Assignment: Week 4 Release Plan (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","G5Mcg","hiUp9",5,1,"5.6 Video Simulation: Backlog Refinement  (Friday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","jDnF8","6dUH6",12,12,"3.13 Assignment: Product Wireframe (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","Je4bP","g9S3n",5,1,"6.6 Video Simulation: Project Retrospective",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","1JKFT","d2ajb",1,12,"2.2 Assignment: Requirements Technical Review - Part 2 (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","jvqt4","hiUp9",3,1,"5.4 Video Simulation: Standup Meeting (Friday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","SAE71","hiUp9",8,3,"5.9 Resource: Week 5 Project Release Plan (Proposed Solution)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","24XUN","1DmNT",6,1,"1.7 Video Simulation: Development Team Meeting (Monday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","guCCo","Rk10Z",1,1,"0.1 Introduction",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","rVbki","6dUH6",0,3,"3.1 Resource: Project Requirements/User Stories",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","8hQcr","6dUH6",11,12,"3.12: Assignment: Iteration Plan for Sprint 1 (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","VsPwR","mFBaV",5,1,"4.6 Video Simulation: Client Demo & Backlog Refinements (Friday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","Utvpp","g9S3n",4,12,"6.5 Assignment: Release Burndown (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","Y9s8H","6dUH6",8,3,"3.9 Resource: Week 3 Project Release Plan (Proposed Solution)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","LyIPI","g9S3n",9,3,"Discussion Forum: Your Specialization Experience",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","r9zkF","d2ajb",2,1,"2.3 Video Simulation: Risk Discussion (Wednesday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","plJIh","mFBaV",11,3,"4.12 Resource: Week 4 Project Release Plan  (Proposed Solution)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","qfUD4","1DmNT",2,3,"1.3 Decision Tree: Meeting the Client",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","SaDbD","g9S3n",3,1,"6.4 Video Simulation: Client Demo (Friday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","bAOFD","g9S3n",8,1,"6.9 Congratulations on completing the Capstone",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","vILu9","g9S3n",0,1,"6.1 Video Simulation: Standup Meeting (Wednesday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","nXRPD","Rk10Z",6,3,"0.6 Capstone Assignments - Time Estimates",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","5rtCp","1DmNT",7,3,"1.8 Tutorial: Using Google Documents",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","Orpha","6dUH6",7,12,"3.8 Assignment: Week 3 Release Plan (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","ch4H9","d2ajb",0,12,"2.1 Assignment: Requirements Technical Review - Part 1 (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","YhcP4","mFBaV",8,3,"4.9 Resource: Sprint 1 Retrospective - Meeting Minutes",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","YRR22","hiUp9",1,12,"5.2 Assignment: Risk Plan Update (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","WvvJI","hiUp9",0,1,"5.1 Video Simulation: Standup Meeting (Monday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","5CUlS","hiUp9",10,1,"5.11 Video Simulation: Sprint Retrospective (Friday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","YeRbq","hiUp9",6,3,"5.7 Exercise: Week 5 Release Planning",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","mYyLI","1DmNT",5,1,"1.6  Video Simulation: Development Team Introduction (Monday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","QRtNY","g9S3n",1,3,"6.2 Decision Tree: Loose Cannon",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","DPn0B","hiUp9",2,1,"5.3 Video Simulation: Standup Meeting (Wednesday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","lRHE2","d2ajb",3,12,"2.4 Assignment: Risk Plan (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","tL85J","1DmNT",4,3,"1.5 Email: TedTalk Video",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","E6m7K","mFBaV",12,12,"4.13 Assignment: Iteration Plan for Sprint 2 (Graded)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","sW8gK","6dUH6",9,1,"3.10 Video Simulation: Task Breakdown Meeting",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","ynlyb","6dUH6",6,3,"3.7 Exercise: Week 3 Release Planning",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","qwTwT","hiUp9",4,1,"5.5 Video Simulation: Client Demo (Friday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","7tqcS","g9S3n",10,3,"Acknowledgements",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","dvhTj","Rk10Z",5,3,"0.5 Discussion Forum: Introduce Yourself",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","egfcs","mFBaV",3,1,"4.4 Simulation: Office Chat Conversation (Thursday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","jrnL9","1DmNT",3,3,"1.4 Decision Tree: Expert Advisor Meeting",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","BdOU7","d2ajb",4,3,"2.5 Email: Removing Android",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","LdL1I","g9S3n",6,3,"6.7 Resource: Project Retrospective - Meeting Minutes",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","RQ3Zo","Rk10Z",7,3,"0.7 Resource: Software Product Manager Job Posting",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","Ud9H3","g9S3n",2,1,"6.3 Video Simulation: Standup Meeting (Friday)",f
"branch~6o3Tbxt3Eea6zxLIiAy73w","ODzGD","mFBaV",4,1,"4.5 Video Simulation: Standup Meeting (Friday)",f
"branch~2NrPvSjhEeam2xJnFSlCww","BdOU7","d2ajb",4,3,"2.5 Email: Removing Android",f
"branch~2NrPvSjhEeam2xJnFSlCww","fFMh9","hiUp9",9,12,"5.10 Assignment: Release Burndown (Graded)",f
"branch~2NrPvSjhEeam2xJnFSlCww","tL85J","1DmNT",4,3,"1.5 Email: TedTalk Video",f
"branch~2NrPvSjhEeam2xJnFSlCww","NiskR","6dUH6",3,3,"3.4 Decision Tree: Prioritization Meeting",f
"branch~2NrPvSjhEeam2xJnFSlCww","LyIPI","g9S3n",10,3,"Discussion Forum: Your Specialization Experience",f
"branch~2NrPvSjhEeam2xJnFSlCww","qwTwT","hiUp9",4,1,"5.5 Video Simulation: Client Demo (Friday)",f
"branch~2NrPvSjhEeam2xJnFSlCww","guCCo","Rk10Z",2,1,"0.1 Introduction",f
"branch~2NrPvSjhEeam2xJnFSlCww","E6m7K","mFBaV",12,12,"4.13 Assignment: Iteration Plan for Sprint 2 (Graded)",f
"branch~2NrPvSjhEeam2xJnFSlCww","ch4H9","d2ajb",0,12,"2.1 Assignment: Requirements Technical Review - Part 1 (Graded)",f
"branch~2NrPvSjhEeam2xJnFSlCww","YRR22","hiUp9",1,12,"5.2 Assignment: Risk Plan Update (Graded)",f
"branch~2NrPvSjhEeam2xJnFSlCww","9b8pe","1DmNT",0,3,"1.1 Email: Greetings from Inukshuk Books",f
"branch~2NrPvSjhEeam2xJnFSlCww","iVUCC","mFBaV",0,1,"4.1 Video Simulation: Standup Meeting (Wednesday)",f
"branch~2NrPvSjhEeam2xJnFSlCww","plJIh","mFBaV",11,3,"4.12 Resource: Week 4 Project Release Plan  (Proposed Solution)",f
"branch~2NrPvSjhEeam2xJnFSlCww","Je4bP","g9S3n",6,1,"6.7 Video Simulation: Project Retrospective",f
"branch~2NrPvSjhEeam2xJnFSlCww","gTqXT","Rk10Z",6,6,"0.5 Plagiarism Quiz",f
"branch~2NrPvSjhEeam2xJnFSlCww","Hci1n","g9S3n",5,3,"6.6 Supplemental Reading: Release Burndown Solution",f
"branch~2NrPvSjhEeam2xJnFSlCww","7UTtN","1DmNT",9,12,"1.10 Assignment: Requirements Document (Graded)",f
"branch~2NrPvSjhEeam2xJnFSlCww","QRtNY","g9S3n",1,3,"6.2 Decision Tree: Loose Cannon",f
"branch~2NrPvSjhEeam2xJnFSlCww","6rdPD","g9S3n",8,12,"6.9 Assignment: Personal Project Retrospective (Graded)",f
"branch~2NrPvSjhEeam2xJnFSlCww","Orpha","6dUH6",7,12,"3.8 Assignment: Week 3 Release Plan (Graded)",f
"branch~2NrPvSjhEeam2xJnFSlCww","ZYvUp","hiUp9",11,3,"5.12 Resource: Sprint 2 Retrospective - Meeting Minutes (Friday)",f
"branch~2NrPvSjhEeam2xJnFSlCww","bAOFD","g9S3n",9,1,"6.10 Congratulations on completing the Capstone",f
"branch~2NrPvSjhEeam2xJnFSlCww","YeRbq","hiUp9",6,3,"5.7 Exercise: Week 5 Release Planning",f
"branch~2NrPvSjhEeam2xJnFSlCww","vILu9","g9S3n",0,1,"6.1 Video Simulation: Standup Meeting (Wednesday)",f
