course_id,on_demand_session_id,ualberta_user_id,on_demand_sessions_membership_start_ts,on_demand_sessions_membership_end_ts
"99SZyjVxEeW6RApRXdjJPw","SK1EUODCEeWSpwqE05hQoQ",8102b7b9b6dd1d81a5b88aff33e58dd8bfb3cee2,2016-03-21 16:56:48.794,
"99SZyjVxEeW6RApRXdjJPw","SK1EUODCEeWSpwqE05hQoQ",dba8104298dd502c9ae0f33fb45bc473347b6145,2016-03-21 16:56:42.577,
"99SZyjVxEeW6RApRXdjJPw","adxxxuDCEeWUBxLIsRX_2w",0f3d2157859c5261f7698a028ed3606096e917dc,2016-05-04 15:26:14.709,
"99SZyjVxEeW6RApRXdjJPw","SK1EUODCEeWSpwqE05hQoQ",0f3d2157859c5261f7698a028ed3606096e917dc,2016-03-18 13:09:06.131,2016-05-04 15:26:14.264
"99SZyjVxEeW6RApRXdjJPw","SK1EUODCEeWSpwqE05hQoQ",b6ffd9b9fd7a37db8ff8e1a5047af9f4c552c99c,2016-03-18 02:55:09.285,
"99SZyjVxEeW6RApRXdjJPw","SK1EUODCEeWSpwqE05hQoQ",caa5bf017c9eb3ecf507cf7a2924cd92ac4f6202,2016-03-21 16:56:49.766,
"99SZyjVxEeW6RApRXdjJPw","SK1EUODCEeWSpwqE05hQoQ",48f824483c1f28d52d39dc9bc546107a9e497379,2016-03-24 09:11:29.814,2016-04-07 06:04:33.91
"99SZyjVxEeW6RApRXdjJPw","adxxxuDCEeWUBxLIsRX_2w",48f824483c1f28d52d39dc9bc546107a9e497379,2016-04-07 06:04:34.44,
"99SZyjVxEeW6RApRXdjJPw","adxxxuDCEeWUBxLIsRX_2w",fe947b5116b03b0567368463167a0cc4b80f67a2,2016-05-14 19:32:00.396,
"99SZyjVxEeW6RApRXdjJPw","SK1EUODCEeWSpwqE05hQoQ",a9267c189a3923693ed12ee43747c76e3391d373,2016-03-17 15:46:25.356,
"99SZyjVxEeW6RApRXdjJPw","adxxxuDCEeWUBxLIsRX_2w",40ccca9a2d11ca1b0229ad16933aafcd920a6975,2016-05-22 22:51:34.683,2016-07-04 13:26:19.686
"99SZyjVxEeW6RApRXdjJPw","9dOZr--cEeWFuw7QEATDpw",40ccca9a2d11ca1b0229ad16933aafcd920a6975,2016-07-04 13:26:20.091,
"99SZyjVxEeW6RApRXdjJPw","SK1EUODCEeWSpwqE05hQoQ",ea92f5358a358a5e19f8ad87e4953c68a9e31f1b,2016-03-20 14:27:27.968,
"99SZyjVxEeW6RApRXdjJPw","SK1EUODCEeWSpwqE05hQoQ",46994e97b33efde04387671ecc1c671583e7df51,2016-03-18 09:42:10.198,
"99SZyjVxEeW6RApRXdjJPw","adxxxuDCEeWUBxLIsRX_2w",cfb49afa72076a8ac988e8460fe8dd75ebc20f4c,2016-04-02 09:01:57.823,
"99SZyjVxEeW6RApRXdjJPw","9dOZr--cEeWFuw7QEATDpw",a04b0f9a8ef4ab62a37cdf281bff06ce8d9d5773,2016-07-30 13:58:36.141,
"99SZyjVxEeW6RApRXdjJPw","SK1EUODCEeWSpwqE05hQoQ",29715e8f7340ac3f9865121db4d8b97124a9069a,2016-03-21 21:17:18.501,
"99SZyjVxEeW6RApRXdjJPw","SK1EUODCEeWSpwqE05hQoQ",3081c2b4ba4d7f282561d4ac998726d7b3604694,2016-03-31 00:05:06.487,
