course_id,course_item_id,ualberta_user_id,course_quiz_grade_ts,course_quiz_grade,course_quiz_max_grade
"99SZyjVxEeW6RApRXdjJPw","vG7i3",057631466ff9b6b7b8f6ee75daedb83ca58da2cf,2016-06-04 04:31:25.754,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",1be075e41de282dd75ad4d409fb29abcf3abd736,2016-04-08 22:32:06.722,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",756b74e0dc9730f94352c55611fe19389b3345d4,2016-04-06 06:33:04.808,9,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",3b090f04fb27885686db80b32453ca1b12472942,2016-04-10 19:58:25.385,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",97956fa66f22bb79c9505e3fc89900173a43fd8a,2016-04-05 19:43:19.01,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",2e4ba1ecde1e67e2dca2296e2f877c0c2aa06716,2016-03-28 02:03:15.674,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",d86680e133d33cae702d37f676970faf415863a1,2016-04-02 11:49:55.889,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",3522c2cef63ab4ab26187e1f78edec1a0580c6ed,2016-04-06 17:47:56.053,8,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",31bac1305f17903d98439faff8504e9eb4c0d475,2016-04-01 07:07:23.541,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",02b1d15e1376bb0ef25e693d87780c107bf4c9c2,2016-04-10 23:38:19.452,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",ef38d7bbc605b61716631c4b583f6a368b79e013,2016-04-05 13:42:09.067,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",9e9b1462050b892a46ff700e5b80ae1a6c263534,2016-04-08 09:38:41.537,8,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",160b799580ac522b4822ef5653f60ac55928a1c1,2016-04-05 00:42:02.452,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",cbdfca6502cfe388050209d6085e18d12af01126,2016-04-03 15:13:32.435,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",a0a13bdcc7b54b36b4e38c91591fc308a1a3cde3,2016-06-11 11:42:46.582,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",a728b874edff530fdadd77e1a0bd7782230b744c,2016-04-05 17:02:16.865,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",684349c730923aed5393d5105c00252266af092f,2016-04-04 19:36:24.912,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",3d16bb1e9b2e2b7fb87e67e157f1f60905affefd,2016-04-06 13:59:27.805,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",7c129e7ad80dc627701e6f68c1b425ea83739567,2016-04-10 03:57:05.278,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",4beb1f1c95a22718afb2d7e8da172aa1c1dd20c6,2016-04-07 16:18:42.66,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",873424d8e1cb490d58ed2995af3c0330bb7760d8,2016-04-03 05:18:34.858,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",6f27c60779f52c9ed9523d90ed6d1ec342924e41,2016-04-11 07:01:42.119,9,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",611e45e35e3e26f18c09a3df1528bf4fbcc5d6a2,2016-04-10 17:49:02.958,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",89609934d53403acd631b10afbdce778a1ac8c56,2016-06-02 00:19:55.617,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",5ade6fca7613f9f649242416219207e5eadfaf67,2016-04-09 22:49:30.867,8,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",fb4d3b7c94e51fcc33ced5c076a55dc1e400cd07,2016-05-31 01:00:25.024,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",b02d8840a20f285fec1d1c9cbf80481497fb0dd6,2016-04-07 01:49:29.878,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",3a7bbc59f61b96fce92367ce530b4ee8aa682757,2016-03-31 08:57:01.94,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",9841ac252e036c2cc41e75d79d409eae532ade15,2016-06-04 15:25:26.652,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",f0db58cf9146c992233b3a2dd4210d3160eb0544,2016-04-10 15:44:31.634,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",f6f4b7bd6edf4348c666039d22b9451ec0fe7023,2016-06-06 00:35:14.297,9,10
