ualberta_discussions_user_id,course_id,discussion_question_id,discussion_question_vote_value,discussion_question_vote_ts
8d37571e4e2351394e9a1631822ce095d18f12c4,"99SZyjVxEeW6RApRXdjJPw","8KVFywRAEeamGg7Dz_SaMQ",1,2016-04-17 02:27:30.111
10b58e5726aca57a86fecb62b9517d12a7a4a02b,"99SZyjVxEeW6RApRXdjJPw","f2k-tv6EEeWZ8AoH1Zkwbw",1,2016-04-10 07:52:21.685
93acb2b8617849eee6d58b8797587ffb99f26f37,"99SZyjVxEeW6RApRXdjJPw","WZlqpvRHEeWhbg4BpFa_-Q",1,2016-04-03 20:03:23.443
62f2ccc73809aacc817b0853f6d8aac75c6e6cad,"99SZyjVxEeW6RApRXdjJPw","WZlqpvRHEeWhbg4BpFa_-Q",1,2016-03-29 05:52:39.23
40aaa70ff66676d1524a3183350a5436fc6b6920,"99SZyjVxEeW6RApRXdjJPw","WZlqpvRHEeWhbg4BpFa_-Q",1,2016-04-02 08:22:49.868
0f64436d2f254c758088c19692700246ebe9f08a,"99SZyjVxEeW6RApRXdjJPw","WZlqpvRHEeWhbg4BpFa_-Q",1,2016-03-29 19:51:49.184
831764f171d41cd6e808eb8bc8a02a58bf13bd1f,"99SZyjVxEeW6RApRXdjJPw","znwjpxxCEea3JA6-1_N9Kw",1,2016-05-17 21:50:33.492
a590c973b734fda6bfd87087103326408795dea7,"99SZyjVxEeW6RApRXdjJPw","KGtS3CALEea0fgo0T3qZ0Q",1,2016-05-22 19:45:20.365
d0364da043a5fe6de298986b916ce1eb11498887,"99SZyjVxEeW6RApRXdjJPw","KGtS3CALEea0fgo0T3qZ0Q",1,2016-05-22 23:36:18.654
27e706001a8958deaf6c1bf5aab3affb0f695ece,"99SZyjVxEeW6RApRXdjJPw","c0jnUDSjEead2wphxfi2Cw",1,2016-06-22 17:07:35.78
f024191a140f1bd869d811ed43abe2a5f385738d,"99SZyjVxEeW6RApRXdjJPw","c0jnUDSjEead2wphxfi2Cw",1,2016-06-17 15:53:32.071
